rank,name,genre,esrb_rating,platform,publisher,developer,global_sales,na_sales,pal_sales,jp_sales,other_sales,year,critic_score,user_score
3978,Pro Evolution Soccer 2012,Sports,E,PlayStation Portable,Konami,Konami,0.58,0.11,0.12,0.29,0.07,2011,74.0,6.3
3979,Terminator 3: Rise of the Machines,Action,T,PlayStation 2,Atari,Black Ops Entertainment,0.58,0.28,0.22,,0.07,2003,38.0,6.3
3980,Deus Ex: Human Revolution,Shooter,M,PC,Square Enix,Eidos Montreal,0.58,0.25,0.26,,0.08,2011,90.0,8.5
3981,DEFIANCE,Action,,Xbox 360,Trion Worlds,Trion Worlds,0.58,0.38,0.14,,0.05,2013,,
3982,FIFA Soccer 10,Sports,E,Nintendo DS,EA Sports,Exient Entertainment,0.58,0.14,0.37,,0.07,2009,,7.6
3983,Tom Clancy's HAWX,Action,T,Xbox 360,Ubisoft,Ubisoft Romania,0.58,0.31,0.19,0.02,0.06,2009,73.0,7.3
3984,FIFA: Road to World Cup 98,Sports,E,Nintendo 64,EA Sports,EA Canada,0.58,0.15,0.39,,0.03,1997,,
3985,International Superstar Soccer '98,Sports,E,Nintendo 64,Konami,Konami Computer Entertainment Osaka,0.58,0.06,0.3,0.19,0.03,1998,,
3986,World Cup 98,Sports,E,Nintendo 64,EA Sports,EA Canada,0.58,0.14,0.4,,0.04,1998,,
3987,Final Fantasy: The 4 Heroes of Light,Role-Playing,E10,Nintendo DS,Square Enix,Matrix Software,0.58,0.22,0.1,0.23,0.03,2010,71.0,7.1
3988,Go Diego Go! Great Dinosaur Rescue,Action,E,Nintendo Wii,2K Play,High Voltage Software,0.58,0.52,0.02,,0.04,2008,,
3989,NASCAR: Dirt to Daytona,Racing,E,PlayStation 2,Infogrames,Monster Games Inc.,0.58,0.28,0.22,,0.07,2002,84.0,8.8
3990,Kirby and the Rainbow Curse,Platform,E,Nintendo Wii U,Nintendo,HAL Laboratory,0.58,0.26,0.14,0.13,0.04,2015,73.0,8.0
3991,Unreal Tournament,Shooter,M,PlayStation 2,Infogrames,Epic Games,0.58,0.28,0.22,,0.07,2000,77.0,6.8
3992,Digimon World 2,Role-Playing,E,PlayStation,Bandai,Bandai,0.58,0.23,0.16,0.16,0.04,2001,42.0,7.6
3993,F1 2013,Racing,,PlayStation 3,Codemasters,Codemasters Birmingham,0.58,0.01,0.47,0.03,0.08,2013,77.0,6.3
3994,Tales of Phantasia,Role-Playing,,PlayStation,Namco,Namco Tales Studio / Wolfteam,0.58,,,0.54,0.04,1998,,
