rank,name,genre,esrb_rating,platform,publisher,developer,global_sales,na_sales,pal_sales,jp_sales,other_sales,year,critic_score,user_score
1432,Star Wars Knights of the Old Republic II: The Sith Lords,Role-Playing,T,PC,LucasArts,Obsidian Entertainment,1.53,,,,,2005,,
1453,How to Survive,Action,,PC,505 Games,EKO Software,1.51,,,,,2013,,
1454,Call of Duty: Black Ops II,Shooter,M,PC,Activision,Treyarch,1.51,0.66,0.7,,0.15,2012,74.0,4.2
1477,Crysis: Warhead,Shooter,M,PC,Electronic Arts,Crytek,1.5,,,,,2008,84.0,7.9
1487,Stronghold,Strategy,T,PC,Gathering of Developers,FireFly Studios,1.5,,,,,2001,81.0,8.9
1490,Football Manager 2012,Sports,,PC,Sega,Sega,1.5,0.02,1.16,,0.32,2011,84.0,8.0
1496,Metro: Last Light,Shooter,M,PC,Deep Silver,4a-games,1.49,,,,,2013,82.0,8.6
1503,State of Decay,Action-Adventure,,PC,Microsoft Studios,Undead Labs,1.49,,,,,2013,,
1517,Rogue Legacy,Misc,,PC,Cellar Door Games,Unknown,1.48,,,,,2013,,
1534,Grim Dawn,Role-Playing,,PC,Unknown,Crate Entertainment,1.46,,,,,2004,,
1550,Dark Souls II: Scholar of the First Sin,Role-Playing,,PC,Unknown,From Software,1.45,,,,,2011,,
1617,Anno 2070,Strategy,RP,PC,Ubisoft,Blue Byte Studio,1.4,,1.14,,0.26,2011,83.0,7.0
1626,Fallout 4,Role-Playing,M,PC,Bethesda Softworks,Bethesda Game Studios,1.4,0.57,0.72,,0.11,2015,84.0,5.4
1628,Batman: Arkham Knight,Action,M,PC,Warner Bros. Interactive Entertainment,Rocksteady Studios,1.4,,,,,2015,70.0,2.5
1629,No Man's Sky,Action-Adventure,T,PC,Hello Games,Hello Games,1.4,,,,,2016,,
1633,Spintires,Misc,,PC,Unknown,Unknown,1.39,,,,,2014,,
1639,Battlefield 4,Shooter,M,PC,Electronic Arts,EA DICE,1.39,0.44,0.85,,0.1,2013,81.0,6.0
1652,SimCity (2013),Simulation,E10,PC,Electronic Arts,Maxis,1.38,0.48,0.79,,0.11,2013,64.0,2.2
1667,Age of Mythology,Strategy,T,PC,Microsoft Game Studios,Ensemble Studios,1.37,,,,,2002,89.0,8.9
1689,Hearts of Iron IV,Strategy,T,PC,Paradox Interactive,Paradox Development,1.35,,,,,2016,83.0,6.9
1714,Command & Conquer: Red Alert 2,Strategy,T,PC,Electronic Arts,Westwood Studios,1.34,1.32,0.02,,,2000,,
1730,Transistor,Role-Playing,,PC,Unknown,Supergiant Games,1.33,,,,,2014,,
1744,Geometry Dash,Action,,PC,Unknown,RobTop Games,1.32,,,,,1997,,
1745,Resident Evil 6,Action,M,PC,Capcom,Capcom,1.32,,,,,2013,69.0,5.9
1751,Thief,Action,M,PC,Square Enix,Eidos Montreal,1.31,,,,,2014,,
1763,Who's Your Daddy,Action,,PC,Unknown,Evil Tortilla Games,1.31,,,,,2004,,
1782,The Escapists,Action,,PC,Team17 Software,Mouldy Toof Studios,1.3,,,,,2014,,
1784,Scribblenauts: Unlimited,Puzzle,,PC,Warner Bros. Interactive Entertainment,5TH Cell,1.3,,,,,2012,,
1794,BioShock,Shooter,M,PC,2K Games,2K Australia / 2K Boston,1.29,,,,,2007,96.0,8.5
1809,Fez,Platform,,PC,Trapdoor,Polytron Corporation,1.28,,,,,2013,,
1810,Pillars of Eternity,Role-Playing,M,PC,Paradox Interactive,Obsidian Entertainment,1.28,,,,,2015,89.0,8.3
1813,The Sims 2: Nightlife,Simulation,T,PC,Electronic Arts,Maxis,1.27,1.22,0.05,,,2005,76.0,6.6
1829,Dark Souls II,Role-Playing,,PC,Namco Bandai Games,From Software,1.27,,,,,2014,91.0,7.1
